   0    1.6491   0.0020   0.0002744  0.0000535      0.0      0.0
   1    1.8423   0.0013   0.0002909  0.0000377      0.0      0.0
   2    1.9200   0.0001   0.0006943  0.0000456      0.0      0.0
   0    4.8959   0.0029   0.0001631  0.0000201      0.0      0.0
   1    5.0602   0.0132   0.0000250  0.0000062      0.0      0.0
   2    5.2220   0.0000   0.0001404  0.0000207      0.0      0.0
   3    5.4199   0.0000   0.0000162  0.0000000      0.0      0.0
   0    6.3993   0.0032   0.0002512  0.0000234      0.0      0.0
   1    6.6770   0.0059   0.0001265  0.0000202      0.0      0.0
   2    6.8589   0.0000   0.0000201  0.0000000      0.0      0.0
   3    6.8898   0.0069   0.0001556  0.0000195      0.0      0.0
   4    6.9697   0.0006   0.0001520  0.0000155      0.0      0.0
   5    7.3466   0.0113   0.0002171  0.0000173      0.0      0.0
   0    8.7120   0.0066   0.0000699  0.0000114      0.0      0.0
