   0    1.6528   0.0033   0.0002437  0.0000531      0.0      0.0
   1    1.8460   0.0012   0.0002814  0.0000372      0.0      0.0
   2    1.9179   0.0010   0.0006295  0.0000519      0.0      0.0
   3    1.9339   0.0012   0.0005243  0.0000485      0.0      0.0
   0    4.8982   0.0017   0.0001694  0.0000182      0.0      0.0
   1    5.1401   0.0046   0.0000326  0.0000112      0.0      0.0
   2    5.2223   0.0008   0.0000788  0.0000169      0.0      0.0
   3    5.4037   0.0140   0.0000171  0.0000096      0.0      0.0
   0    6.4051   0.0019   0.0002150  0.0000139      0.0      0.0
   1    6.6871   0.0085   0.0000601  0.0000105      0.0      0.0
   2    6.8593   0.0126   0.0000201  0.0000000      0.0      0.0
   3    6.8873   0.0032   0.0001018  0.0000112      0.0      0.0
   4    6.9250   0.0074   0.0000500  0.0000009      0.0      0.0
   5    7.2811   0.0033   0.0000267  0.0000099      0.0      0.0
   0    8.7083   0.0078   0.0001036  0.0000137      0.0      0.0
