wabs(1) * xaped(2)
 idx  param              tie-to  freeze         value         min         max
  1  wabs(1).nH              0     1         0.511616           0          10  10^22
  2  xaped(2).norm1          0     0      5.21974e-10           0        0.01  
  3  xaped(2).norm2          0     0     2.869244e-13           0        0.01  
  4  xaped(2).norm3          0     0     3.609333e-05           0       0.001  
  5  xaped(2).norm4          0     0       0.02962167       0.001        0.05  
  6  xaped(2).temperature1   0     1          6300000           0           0  
  7  xaped(2).temperature2   0     1         1.26e+07           0           0  
  8  xaped(2).temperature3   0     1         3.16e+07           0           0  
  9  xaped(2).temperature4   0     1         1.26e+08           0           0  
 10  xaped(2).density        0     1            1e+14           0           0  
 11  xaped(2).vturb          0     0         19850.56        2000       20000  
 12  xaped(2).redshift       0     0       0.04433482        -0.2         0.2  
 13  xaped(2).metal_abund    0     0         11.56897         0.1          20  
 14  xaped(2).abund_Ni       0     0         18.75368         0.1         100  
